alpha-3,month,temperatureHigh,temperatureLow,uvIndex,avg_temp
ABW,01,83.93290322580646,76.72838709677417,8.161290322580646,80.3306451612903
ABW,02,83.66275862068969,76.25137931034482,9.931034482758621,79.95706896551727
ABW,03,84.09064516129031,76.46225806451612,10.580645161290322,80.27645161290323
ABW,04,85.33099999999999,78.1855,9.8,81.75825
ABW,12,85.23,77.52,6.0,81.375
AFG,01,42.39612903225807,26.031612903225806,3.129032258064516,34.21387096774194
AFG,02,51.01,33.63620689655173,5.103448275862069,42.32310344827587
AFG,03,57.95322580645163,40.71354838709677,5.806451612903226,49.33338709677419
AFG,04,66.857,48.43,7.3,57.6435
AFG,12,48.36,32.13,2.0,40.245000000000005
ALB,01,53.78129032258063,37.465483870967745,1.7419354838709677,45.62338709677419
ALB,02,56.23551724137931,38.209655172413804,2.9310344827586206,47.22258620689655
ALB,03,59.41612903225806,42.99225806451613,3.838709677419355,51.204193548387096
ALB,04,68.4395,47.78249999999999,5.3,58.111000000000004
ALB,12,51.43,29.8,2.0,40.615
AND,01,52.516129032258064,34.33290322580645,1.6774193548387097,43.424516129032256
AND,02,60.022758620689665,37.220689655172414,3.0,48.62172413793103
AND,03,54.83677419354837,36.04741935483871,3.6774193548387095,45.44209677419355
AND,04,60.304500000000004,41.43300000000001,4.9,50.86875
AND,12,59.15,39.76,2.0,49.455
ARE,01,76.70387096774195,57.762258064516125,5.548387096774194,67.23306451612903
ARE,02,80.74931034482759,59.80482758620689,7.137931034482759,70.27706896551726
ARE,03,86.37967741935483,63.92161290322581,8.903225806451612,75.15064516129031
ARE,04,95.87100000000001,72.8355,8.9,84.35324999999999
ARE,12,84.55,61.83,5.0,73.19
ARG,01,90.26064516129028,62.974838709677414,10.838709677419354,76.61774193548388
ARG,02,87.1651724137931,59.2948275862069,9.10344827586207,73.23
ARG,03,87.96516129032258,61.92064516129033,6.709677419354839,74.94290322580645
ARG,04,76.39,51.374,4.95,63.88199999999999
ARG,12,84.42,61.78,11.0,73.1
ARM,01,23.33322580645161,10.31225806451613,1.8709677419354838,16.822741935483872
ARM,02,24.794137931034484,12.326206896551723,2.896551724137931,18.560172413793104
ARM,03,36.31838709677419,23.668064516129036,4.290322580645161,29.993225806451616
ARM,04,37.841499999999996,24.512,5.4,31.176750000000006
ARM,12,26.05,10.28,1.0,18.165
ATG,01,81.80290322580643,74.6725806451613,7.096774193548387,78.23774193548387
ATG,02,81.57931034482758,74.29724137931032,8.620689655172415,77.93827586206896
ATG,03,81.49193548387096,73.79548387096776,10.0,77.64370967741937
ATG,04,83.64599999999999,76.15200000000002,11.0,79.89899999999999
ATG,12,83.07,75.56,6.0,79.315
AUS,01,78.41974910394268,61.941971326164904,8.526881720430108,70.18086021505381
AUS,02,76.72750957854406,61.511724137931026,7.693486590038314,69.11961685823758
AUS,03,74.42329749103943,59.21301075268815,6.555555555555555,66.8181541218638
AUS,04,71.40477777777781,56.40544444444447,5.427777777777778,63.905111111111175
AUS,12,76.96333333333334,58.658888888888896,10.0,67.8111111111111
AUT,01,42.62032258064515,27.62322580645161,1.032258064516129,35.12177419354839
AUT,02,41.77379310344826,27.05241379310345,1.8275862068965518,34.41310344827587
AUT,03,44.83354838709678,27.42645161290322,2.7419354838709675,36.13
AUT,04,59.55900000000001,36.0435,4.95,47.801249999999996
AUT,12,38.68,26.34,1.0,32.51
AZE,01,51.34225806451613,32.369032258064514,1.5806451612903225,41.855645161290326
AZE,02,58.21517241379311,35.65586206896552,2.7586206896551726,46.93551724137931
AZE,03,64.69967741935484,42.70322580645162,3.870967741935484,53.70145161290321
AZE,04,66.8295,44.54,4.8,55.68474999999999
AZE,12,56.77,35.46,1.0,46.115
BEL,01,49.172580645161304,39.083548387096776,0.9354838709677419,44.12806451612904
BEL,02,51.580000000000005,39.86896551724138,1.3103448275862069,45.72448275862068
BEL,03,53.25677419354839,36.65935483870969,2.774193548387097,44.958064516129035
BEL,04,66.77050000000001,43.437000000000005,4.45,55.10375000000001
BEL,12,42.88,33.0,1.0,37.94
BEN,01,96.94354838709675,63.75000000000001,9.258064516129032,80.34677419354838
BEN,02,100.29758620689654,64.97827586206898,10.517241379310345,82.63793103448275
BEN,03,100.77580645161288,74.29419354838711,8.161290322580646,87.535
BEN,04,99.0405,75.13149999999999,8.55,87.086
BEN,12,94.54,62.21,10.0,78.375
BFA,01,93.88967741935481,63.3374193548387,8.64516129032258,78.61354838709677
BFA,02,97.98655172413795,65.63172413793103,10.0,81.80913793103448
BFA,03,104.37677419354843,74.34258064516132,9.419354838709678,89.35967741935482
BFA,04,105.32619047619048,79.48095238095237,9.476190476190476,92.40357142857144
BGD,01,77.4490322580645,56.89741935483872,5.774193548387097,67.17322580645161
BGD,02,83.27999999999999,59.56275862068964,7.206896551724138,71.42137931034483
BGD,03,91.82000000000001,68.04935483870969,8.870967741935484,79.93467741935486
BGD,04,96.48349999999999,72.81750000000001,9.5,84.65050000000001
BGD,12,83.78,61.81,5.0,72.795
BGR,01,37.010322580645166,25.35354838709677,1.5161290322580645,31.18193548387097
BGR,02,39.47551724137931,26.76,2.5517241379310347,33.117758620689656
BGR,03,44.604193548387094,31.61193548387097,3.4516129032258065,38.108064516129026
BGR,04,51.239,35.09400000000001,5.35,43.1665
BGR,12,29.56,18.31,1.0,23.935
BHR,01,68.14612903225807,59.42322580645162,4.935483870967742,63.784677419354836
BHR,02,70.71344827586208,61.06068965517241,6.310344827586207,65.88706896551726
BHR,03,76.40516129032257,66.17225806451614,8.258064516129032,71.28870967741938
BHR,04,83.1415,72.87950000000001,7.45,78.0105
BHR,12,71.3,64.5,5.0,67.9
BHS,01,77.22387096774195,72.5867741935484,5.580645161290323,74.90532258064518
BHS,02,77.72689655172412,72.88172413793103,7.551724137931035,75.3043103448276
BHS,03,77.21677419354837,72.47967741935487,9.32258064516129,74.84822580645162
BHS,04,80.12300000000002,75.54800000000002,10.65,77.8355
BHS,12,80.29,74.56,5.0,77.42500000000001
BIH,01,34.532258064516135,21.072258064516134,1.4516129032258065,27.802258064516128
BIH,02,38.20310344827587,23.503448275862066,2.4482758620689653,30.853275862068962
BIH,03,39.53967741935483,23.094193548387096,3.6129032258064515,31.316935483870974
BIH,04,52.63349999999999,31.2615,5.65,41.9475
BIH,12,28.75,12.98,1.0,20.865000000000002
BLR,01,37.529032258064504,30.46129032258065,0.3225806451612903,33.995161290322585
BLR,02,40.84275862068966,29.891724137931032,1.0,35.36724137931034
BLR,03,47.18645161290323,31.342258064516127,2.032258064516129,39.26435483870967
BLR,04,53.5065,33.413000000000004,3.8,43.45975
BLR,12,33.04,29.93,0.0,31.485
BOL,01,90.64580645161287,73.2958064516129,7.774193548387097,81.97080645161292
BOL,02,87.38275862068966,72.20896551724135,7.931034482758621,79.79586206896552
BOL,03,92.16064516129038,72.56032258064515,9.290322580645162,82.3604838709677
BOL,04,87.94449999999998,67.76650000000001,8.65,77.85550000000003
BOL,12,82.3,70.92,7.0,76.61
BRA,01,87.18967741935482,70.87225806451615,7.290322580645161,79.03096774193547
BRA,02,87.06931034482761,69.83275862068965,7.517241379310345,78.45103448275862
BRA,03,86.43290322580647,69.49451612903228,8.903225806451612,77.96370967741936
BRA,04,87.4585,69.422,8.6,78.44024999999998
BRA,12,88.69,70.31,6.0,79.5
BRB,01,78.10258064516128,72.59096774193549,7.838709677419355,75.34677419354837
BRB,02,78.1793103448276,72.21862068965518,9.172413793103448,75.19896551724138
BRB,03,78.44935483870967,71.78290322580646,10.32258064516129,75.11612903225809
BRB,04,81.0865,74.0235,8.05,77.55499999999999
BRB,12,78.99,73.32,8.0,76.155
BRN,01,88.67612903225807,73.46774193548387,7.483870967741935,81.07193548387099
BRN,02,91.07241379310348,73.5844827586207,7.724137931034483,82.32844827586204
BRN,03,90.39870967741928,73.28483870967743,9.096774193548388,81.84177419354835
BRN,04,91.08450000000002,74.1855,8.85,82.635
BRN,12,91.48,72.15,6.0,81.815
BTN,01,52.295161290322575,28.321935483870977,5.419354838709677,40.30854838709678
BTN,02,54.015172413793096,30.492068965517245,6.793103448275862,42.25362068965517
BTN,03,58.3216129032258,34.91483870967741,8.870967741935484,46.618225806451605
BTN,04,62.56849999999999,39.931999999999995,9.25,51.25025000000001
BTN,12,52.29,30.53,4.0,41.41
CAF,01,98.79064516129031,63.093548387096774,9.870967741935484,80.94209677419354
CAF,02,102.35137931034483,68.44448275862068,10.10344827586207,85.39793103448275
CAF,03,100.89516129032259,72.41290322580646,8.32258064516129,86.6540322580645
CAF,04,95.52700000000002,72.127,8.15,83.827
CAF,12,100.65,65.61,6.0,83.13
CAN,01,22.61441935483871,10.901774193548379,0.7419354838709677,16.75809677419352
CAN,02,25.685689655172386,10.591103448275842,1.4827586206896552,18.138396551724142
CAN,03,31.63322580645159,16.20700000000001,2.661290322580645,23.9201129032258
CAN,04,38.3455,24.10564999999998,3.425,31.225575000000003
CAN,12,29.991000000000003,20.778,0.5,25.3845
CHE,01,39.94967741935484,29.029032258064518,1.064516129032258,34.48935483870967
